normalized_name,source,identifier,n_papers_total,years_active,annual_counts,annual_norm,mean_norm_freq,trend_slope,cas,cas_method
gelatin from porcine skin,Sigma-Aldrich,Cat# G1890,10,"2021,2023,2024,2025","{""2021"": 2, ""2023"": 4, ""2024"": 1, ""2025"": 3}","{""2021"": 0.002677, ""2023"": 0.006969, ""2024"": 0.002299, ""2025"": 0.005484}",0.004357,0.00040636,,not_found
user enzyme,New England Biolabs,M5505,9,"2018,2019,2021,2022,2025,2026","{""2018"": 1, ""2019"": 1, ""2021"": 2, ""2022"": 2, ""2025"": 2, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.001698, ""2021"": 0.002677, ""2022"": 0.00312, ""2025"": 0.003656, ""2026"": 0.012346}",0.004356,0.00091245,,not_found
phusion dna polymerase,NEB,F530L,10,"2017,2019,2021,2022,2023,2024","{""2017"": 2, ""2019"": 3, ""2021"": 1, ""2022"": 1, ""2023"": 2, ""2024"": 1}","{""2017"": 0.012346, ""2019"": 0.005093, ""2021"": 0.001339, ""2022"": 0.00156, ""2023"": 0.003484, ""2024"": 0.002299}",0.004353,-0.00129836,,not_found
kifunensine,Sigma-Aldrich,Cat# K1140,11,"2018,2020,2021,2023,2024,2025,2026","{""2018"": 1, ""2020"": 1, ""2021"": 3, ""2023"": 2, ""2024"": 2, ""2025"": 1, ""2026"": 1}","{""2018"": 0.002639, ""2020"": 0.001531, ""2021"": 0.004016, ""2023"": 0.003484, ""2024"": 0.004598, ""2025"": 0.001828, ""2026"": 0.012346}",0.004349,0.00074159,109944-15-2,name
l-tryptophan,Sigma-Aldrich,Cat#T0254; CAS: 73-22-3,11,"2018,2021,2022,2023,2024,2025,2026","{""2018"": 1, ""2021"": 1, ""2022"": 3, ""2023"": 2, ""2024"": 1, ""2025"": 2, ""2026"": 1}","{""2018"": 0.002639, ""2021"": 0.001339, ""2022"": 0.00468, ""2023"": 0.003484, ""2024"": 0.002299, ""2025"": 0.003656, ""2026"": 0.012346}",0.004349,0.00080123,73-22-3,name
"his-tagged sars-cov-2 rbd k417n, e484k, n501y","Zhou et al., 2021",,6,"2021,2022","{""2021"": 3, ""2022"": 3}","{""2021"": 0.004016, ""2022"": 0.00468}",0.004348,,,not_found
glycoblue coprecipitant,Thermo Fisher Scientific,Cat#AM9515,16,"2019,2020,2021,2022,2023,2025","{""2019"": 2, ""2020"": 2, ""2021"": 3, ""2022"": 3, ""2023"": 1, ""2025"": 5}","{""2019"": 0.003396, ""2020"": 0.003063, ""2021"": 0.004016, ""2022"": 0.00468, ""2023"": 0.001742, ""2025"": 0.009141}",0.00434,0.00075065,,not_found
"dpbs, no calcium, no magnesium",Thermo Fisher Scientific,Cat#14190144,14,"2018,2019,2020,2021,2024,2025","{""2018"": 2, ""2019"": 2, ""2020"": 3, ""2021"": 3, ""2024"": 3, ""2025"": 1}","{""2018"": 0.005277, ""2019"": 0.003396, ""2020"": 0.004594, ""2021"": 0.004016, ""2024"": 0.006897, ""2025"": 0.001828}",0.004335,-9.139e-05,,not_found
phorbol-12-myristate-13-acetate,Sigma-Aldrich,CAT# 524400,9,"2019,2022,2024,2025","{""2019"": 2, ""2022"": 1, ""2024"": 3, ""2025"": 3}","{""2019"": 0.003396, ""2022"": 0.00156, ""2024"": 0.006897, ""2025"": 0.005484}",0.004334,0.00054245,16561-29-8,name
1-thioglycerol,Sigma Aldrich,M6145,14,"2019,2020,2021,2023,2024,2025","{""2019"": 1, ""2020"": 2, ""2021"": 2, ""2023"": 3, ""2024"": 5, ""2025"": 1}","{""2019"": 0.001698, ""2020"": 0.003063, ""2021"": 0.002677, ""2023"": 0.005226, ""2024"": 0.011494, ""2025"": 0.001828}",0.004331,0.00070725,96-27-5,sigma_sid
tbs,Thermo Fisher Scientific,Cat# J60764.K2,9,"2019,2022,2023,2024","{""2019"": 1, ""2022"": 3, ""2023"": 1, ""2024"": 4}","{""2019"": 0.001698, ""2022"": 0.00468, ""2023"": 0.001742, ""2024"": 0.009195}",0.004329,0.00107426,,not_found
xav-939,Tocris,Cat#3748,9,"2021,2023,2024,2025","{""2021"": 1, ""2023"": 1, ""2024"": 3, ""2025"": 4}","{""2021"": 0.001339, ""2023"": 0.001742, ""2024"": 0.006897, ""2025"": 0.007313}",0.004323,0.00165965,284028-89-3,name
tmb substrate,Sigma,N301,15,"2018,2020,2021,2022,2023,2025","{""2018"": 2, ""2020"": 3, ""2021"": 2, ""2022"": 4, ""2023"": 2, ""2025"": 2}","{""2018"": 0.005277, ""2020"": 0.004594, ""2021"": 0.002677, ""2022"": 0.00624, ""2023"": 0.003484, ""2025"": 0.003656}",0.004322,-0.00018834,54827-17-7,name
paraformaldehyde solution 4% in pbs,Santa Cruz Biotechnology,Cat# sc-281692,8,"2020,2022,2023,2024,2025,2026","{""2020"": 1, ""2022"": 1, ""2023"": 1, ""2024"": 3, ""2025"": 1, ""2026"": 1}","{""2020"": 0.001531, ""2022"": 0.00156, ""2023"": 0.001742, ""2024"": 0.006897, ""2025"": 0.001828, ""2026"": 0.012346}",0.004317,0.00140576,,not_found
q-vd-oph,Cayman Chemical,Cat# HY-12305,6,"2017,2019,2022,2024,2025,2026","{""2017"": 1, ""2019"": 1, ""2022"": 1, ""2024"": 1, ""2025"": 1, ""2026"": 1}","{""2017"": 0.006173, ""2019"": 0.001698, ""2022"": 0.00156, ""2024"": 0.002299, ""2025"": 0.001828, ""2026"": 0.012346}",0.004317,0.00030541,1135695-98-5,name
prolong gold antifade reagent,Invitrogen,Cat# P36930,19,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 2, ""2019"": 1, ""2020"": 2, ""2021"": 2, ""2022"": 3, ""2023"": 3, ""2024"": 2, ""2025"": 4}","{""2018"": 0.005277, ""2019"": 0.001698, ""2020"": 0.003063, ""2021"": 0.002677, ""2022"": 0.00468, ""2023"": 0.005226, ""2024"": 0.004598, ""2025"": 0.007313}",0.004316,0.00044336,,not_found
5-bromo-2′-deoxyuridine,Sigma-Aldrich,B5002,20,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2018"": 2, ""2019"": 4, ""2020"": 1, ""2021"": 5, ""2022"": 3, ""2023"": 1, ""2024"": 1, ""2025"": 2}","{""2017"": 0.006173, ""2018"": 0.005277, ""2019"": 0.006791, ""2020"": 0.001531, ""2021"": 0.006693, ""2022"": 0.00468, ""2023"": 0.001742, ""2024"": 0.002299, ""2025"": 0.003656}",0.004316,-0.0004325,59-14-3,sigma_sid
clozapine n-oxide,Sigma,Cat #C0832,16,"2017,2018,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2018"": 1, ""2020"": 1, ""2021"": 2, ""2022"": 1, ""2023"": 3, ""2024"": 4, ""2025"": 3}","{""2017"": 0.006173, ""2018"": 0.002639, ""2020"": 0.001531, ""2021"": 0.002677, ""2022"": 0.00156, ""2023"": 0.005226, ""2024"": 0.009195, ""2025"": 0.005484}",0.004311,0.00033833,34233-69-7,sigma_sid
sulfo-nhs-lc-biotin,Thermo Fisher Scientific,Cat#21335,5,"2021,2024","{""2021"": 3, ""2024"": 2}","{""2021"": 0.004016, ""2024"": 0.004598}",0.004307,,109940-19-4,name
sars-cov-2 s1,Sino Biological,Cat # 40591-V08H,6,"2020,2021","{""2020"": 3, ""2021"": 3}","{""2020"": 0.004594, ""2021"": 0.004016}",0.004305,,,not_found
nmda,Tocris,M3262,17,"2018,2019,2020,2021,2022,2023,2025","{""2018"": 2, ""2019"": 4, ""2020"": 2, ""2021"": 1, ""2022"": 3, ""2023"": 2, ""2025"": 3}","{""2018"": 0.005277, ""2019"": 0.006791, ""2020"": 0.003063, ""2021"": 0.001339, ""2022"": 0.00468, ""2023"": 0.003484, ""2025"": 0.005484}",0.004303,-9.158e-05,6384-92-5,name
mitotracker deep red,Invitrogen,Cat# M22426,14,"2018,2019,2020,2021,2022,2023,2024,2026","{""2018"": 1, ""2019"": 1, ""2020"": 2, ""2021"": 3, ""2022"": 2, ""2023"": 3, ""2024"": 1, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.001698, ""2020"": 0.003063, ""2021"": 0.004016, ""2022"": 0.00312, ""2023"": 0.005226, ""2024"": 0.002299, ""2026"": 0.012346}",0.004301,0.00092872,,not_found
dimethylsulfoxide,Sigma,276855-100mL,9,"2017,2018,2020,2021,2023,2025","{""2017"": 2, ""2018"": 2, ""2020"": 1, ""2021"": 1, ""2023"": 2, ""2025"": 1}","{""2017"": 0.012346, ""2018"": 0.005277, ""2020"": 0.001531, ""2021"": 0.001339, ""2023"": 0.003484, ""2025"": 0.001828}",0.004301,-0.00096755,67-68-5,name
rnase out,Invitrogen,Cat# 10777019,13,"2019,2020,2022,2023,2025","{""2019"": 2, ""2020"": 5, ""2022"": 1, ""2023"": 3, ""2025"": 2}","{""2019"": 0.003396, ""2020"": 0.007657, ""2022"": 0.00156, ""2023"": 0.005226, ""2025"": 0.003656}",0.004299,-0.00021957,,not_found
nupage transfer buffer,Thermo Fisher Scientific,NP00061,6,"2020,2023,2024,2025,2026","{""2020"": 1, ""2023"": 2, ""2024"": 1, ""2025"": 1, ""2026"": 1}","{""2020"": 0.001531, ""2023"": 0.003484, ""2024"": 0.002299, ""2025"": 0.001828, ""2026"": 0.012346}",0.004298,0.00120306,,not_found
sodium citrate dihydrate,Sigma-Aldrich,Cat#W302600,6,"2020,2023,2024,2025,2026","{""2020"": 1, ""2023"": 2, ""2024"": 1, ""2025"": 1, ""2026"": 1}","{""2020"": 0.001531, ""2023"": 0.003484, ""2024"": 0.002299, ""2025"": 0.001828, ""2026"": 0.012346}",0.004298,0.00120306,6132-04-3,name
complete protease inhibitor,Roche,Cat# 11697498001,16,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 1, ""2019"": 3, ""2020"": 2, ""2021"": 2, ""2022"": 1, ""2023"": 2, ""2024"": 1, ""2025"": 3, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.005093, ""2020"": 0.003063, ""2021"": 0.002677, ""2022"": 0.00156, ""2023"": 0.003484, ""2024"": 0.002299, ""2025"": 0.005484, ""2026"": 0.012346}",0.004294,0.00065468,,not_found
tn5 transposase,Illumina,Cat#70715027865,7,"2020,2024,2025","{""2020"": 3, ""2024"": 2, ""2025"": 2}","{""2020"": 0.004594, ""2024"": 0.004598, ""2025"": 0.003656}",0.004283,-0.00013373,,not_found
pertussis toxin,Sigma-Aldrich,P7208,18,"2017,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2019"": 3, ""2020"": 2, ""2021"": 4, ""2022"": 1, ""2023"": 3, ""2024"": 1, ""2025"": 3}","{""2017"": 0.006173, ""2019"": 0.005093, ""2020"": 0.003063, ""2021"": 0.005355, ""2022"": 0.00156, ""2023"": 0.005226, ""2024"": 0.002299, ""2025"": 0.005484}",0.004282,-0.00019927,199062-33-4,name
creatine phosphate,Roche,Cat#10621714001,18,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2018"": 3, ""2019"": 1, ""2020"": 2, ""2021"": 1, ""2022"": 2, ""2023"": 4, ""2024"": 2, ""2025"": 2}","{""2017"": 0.006173, ""2018"": 0.007916, ""2019"": 0.001698, ""2020"": 0.003063, ""2021"": 0.001339, ""2022"": 0.00312, ""2023"": 0.006969, ""2024"": 0.004598, ""2025"": 0.003656}",0.004281,-0.00015701,67-07-2,name
carprofen,Norbrook,Cat#PHR1452,11,"2017,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2020"": 1, ""2021"": 1, ""2022"": 3, ""2023"": 1, ""2024"": 2, ""2025"": 1, ""2026"": 1}","{""2017"": 0.006173, ""2020"": 0.001531, ""2021"": 0.001339, ""2022"": 0.00468, ""2023"": 0.001742, ""2024"": 0.004598, ""2025"": 0.001828, ""2026"": 0.012346}",0.00428,0.00036941,53716-49-7,name
beta-mercaptoethanol,Sigma,M3148,15,"2020,2021,2022,2023,2024,2025","{""2020"": 3, ""2021"": 2, ""2022"": 1, ""2023"": 1, ""2024"": 1, ""2025"": 7}","{""2020"": 0.004594, ""2021"": 0.002677, ""2022"": 0.00156, ""2023"": 0.001742, ""2024"": 0.002299, ""2025"": 0.012797}",0.004278,0.0011446,60-24-2,sigma_sid
recombinant human il-15,Peprotech,Cat# 200-15,17,"2017,2018,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2018"": 2, ""2020"": 1, ""2021"": 4, ""2022"": 3, ""2023"": 3, ""2024"": 1, ""2025"": 2}","{""2017"": 0.006173, ""2018"": 0.005277, ""2020"": 0.001531, ""2021"": 0.005355, ""2022"": 0.00468, ""2023"": 0.005226, ""2024"": 0.002299, ""2025"": 0.003656}",0.004275,-0.00025132,,not_found
"pierce™ 16% formaldehyde (w/v), methanol-free",Thermo Fisher Scientific,Cat#28908,7,"2017,2022,2024,2025","{""2017"": 1, ""2022"": 2, ""2024"": 1, ""2025"": 3}","{""2017"": 0.006173, ""2022"": 0.00312, ""2024"": 0.002299, ""2025"": 0.005484}",0.004269,-0.00025824,,not_found
bis(maleimido)ethane,Thermo Scientific,Cat#22323,5,"2017,2021,2022,2025","{""2017"": 2, ""2021"": 1, ""2022"": 1, ""2025"": 1}","{""2017"": 0.012346, ""2021"": 0.001339, ""2022"": 0.00156, ""2025"": 0.001828}",0.004268,-0.00136727,,name
fectopro dna transfection reagent,VWR,Cat#10118-444,5,"2022,2023","{""2022"": 1, ""2023"": 4}","{""2022"": 0.00156, ""2023"": 0.006969}",0.004264,,,not_found
trypsin/edta,Gibco,Cat# 25300054,9,"2017,2019,2020,2021,2023,2025,2026","{""2017"": 1, ""2019"": 1, ""2020"": 1, ""2021"": 2, ""2023"": 1, ""2025"": 2, ""2026"": 1}","{""2017"": 0.006173, ""2019"": 0.001698, ""2020"": 0.001531, ""2021"": 0.002677, ""2023"": 0.001742, ""2025"": 0.003656, ""2026"": 0.012346}",0.004261,0.00052072,,not_found
metformin,Sigma-Aldrich,13118,15,"2017,2018,2019,2020,2021,2022,2024,2025","{""2017"": 1, ""2018"": 4, ""2019"": 2, ""2020"": 2, ""2021"": 1, ""2022"": 2, ""2024"": 2, ""2025"": 1}","{""2017"": 0.006173, ""2018"": 0.010554, ""2019"": 0.003396, ""2020"": 0.003063, ""2021"": 0.001339, ""2022"": 0.00312, ""2024"": 0.004598, ""2025"": 0.001828}",0.004259,-0.00060296,657-24-9,name
ammonium formate,Sigma-Aldrich,Cat#5093.1,11,"2019,2022,2023,2024,2025","{""2019"": 1, ""2022"": 1, ""2023"": 4, ""2024"": 4, ""2025"": 1}","{""2019"": 0.001698, ""2022"": 0.00156, ""2023"": 0.006969, ""2024"": 0.009195, ""2025"": 0.001828}",0.00425,0.00061323,540-69-2,name
2-propanol,Sigma-Aldrich,I9516-500ML,14,"2018,2021,2022,2023,2024,2025","{""2018"": 2, ""2021"": 2, ""2022"": 6, ""2023"": 1, ""2024"": 2, ""2025"": 1}","{""2018"": 0.005277, ""2021"": 0.002677, ""2022"": 0.00936, ""2023"": 0.001742, ""2024"": 0.004598, ""2025"": 0.001828}",0.004247,-0.00037656,67-63-0,name
recombinant murine il-3,PeproTech,213–13,10,"2017,2019,2020,2021,2023,2025","{""2017"": 2, ""2019"": 1, ""2020"": 1, ""2021"": 2, ""2023"": 1, ""2025"": 3}","{""2017"": 0.012346, ""2019"": 0.001698, ""2020"": 0.001531, ""2021"": 0.002677, ""2023"": 0.001742, ""2025"": 0.005484}",0.004246,-0.00060345,,not_found
u0126,Tocris Bioscience,Cat# 1144; CAS: 109511-58-2,12,"2017,2018,2019,2020,2021,2022","{""2017"": 1, ""2018"": 2, ""2019"": 2, ""2020"": 3, ""2021"": 1, ""2022"": 3}","{""2017"": 0.006173, ""2018"": 0.005277, ""2019"": 0.003396, ""2020"": 0.004594, ""2021"": 0.001339, ""2022"": 0.00468}",0.004243,-0.00051656,109511-58-2,name
l-methionine,Sigma,Cat#M9625,8,"2018,2021,2022,2024,2025,2026","{""2018"": 1, ""2021"": 1, ""2022"": 2, ""2024"": 1, ""2025"": 2, ""2026"": 1}","{""2018"": 0.002639, ""2021"": 0.001339, ""2022"": 0.00312, ""2024"": 0.002299, ""2025"": 0.003656, ""2026"": 0.012346}",0.004233,0.00083364,63-68-3,sigma_sid
tmrm,Thermo Fisher Scientific,T668,17,"2018,2019,2020,2021,2022,2023,2024","{""2018"": 2, ""2019"": 3, ""2020"": 2, ""2021"": 4, ""2022"": 1, ""2023"": 4, ""2024"": 1}","{""2018"": 0.005277, ""2019"": 0.005093, ""2020"": 0.003063, ""2021"": 0.005355, ""2022"": 0.00156, ""2023"": 0.006969, ""2024"": 0.002299}",0.004231,-0.00023881,115532-49-5,name
passive lysis buffer,Promega,Cat# E1941,18,"2017,2018,2019,2020,2021,2022,2023,2024","{""2017"": 1, ""2018"": 1, ""2019"": 2, ""2020"": 1, ""2021"": 5, ""2022"": 6, ""2023"": 1, ""2024"": 1}","{""2017"": 0.006173, ""2018"": 0.002639, ""2019"": 0.003396, ""2020"": 0.001531, ""2021"": 0.006693, ""2022"": 0.00936, ""2023"": 0.001742, ""2024"": 0.002299}",0.004229,-0.00010171,,not_found
"edta (0.5 m), ph 8.0, rnase-free",Thermo Fisher Scientific,Cat# AM9261,10,"2019,2021,2023,2025","{""2019"": 1, ""2021"": 2, ""2023"": 3, ""2025"": 4}","{""2019"": 0.001698, ""2021"": 0.002677, ""2023"": 0.005226, ""2025"": 0.007313}",0.004229,0.00096968,,not_found
human insulin,Sigma-Aldrich,Cat#I9278,17,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 2, ""2018"": 1, ""2019"": 2, ""2020"": 1, ""2021"": 3, ""2022"": 3, ""2023"": 2, ""2024"": 1, ""2025"": 2}","{""2017"": 0.012346, ""2018"": 0.002639, ""2019"": 0.003396, ""2020"": 0.001531, ""2021"": 0.004016, ""2022"": 0.00468, ""2023"": 0.003484, ""2024"": 0.002299, ""2025"": 0.003656}",0.004227,-0.00054084,11061-68-0,name
adp,Sigma-Aldrich,A2754,13,"2017,2018,2019,2020,2022,2023,2024","{""2017"": 1, ""2018"": 3, ""2019"": 4, ""2020"": 1, ""2022"": 2, ""2023"": 1, ""2024"": 1}","{""2017"": 0.006173, ""2018"": 0.007916, ""2019"": 0.006791, ""2020"": 0.001531, ""2022"": 0.00312, ""2023"": 0.001742, ""2024"": 0.002299}",0.004225,-0.00079475,58-64-0,name
dmem-f12,Gibco,Cat# 11330057,10,"2018,2019,2020,2023,2024,2025,2026","{""2018"": 1, ""2019"": 1, ""2020"": 1, ""2023"": 1, ""2024"": 1, ""2025"": 4, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.001698, ""2020"": 0.001531, ""2023"": 0.001742, ""2024"": 0.002299, ""2025"": 0.007313, ""2026"": 0.012346}",0.004224,0.00092982,,not_found
ssoadvanced universal sybr green supermix,Bio-Rad,Cat# 1725274,12,"2017,2021,2022,2023,2024,2025","{""2017"": 1, ""2021"": 2, ""2022"": 1, ""2023"": 2, ""2024"": 1, ""2025"": 5}","{""2017"": 0.006173, ""2021"": 0.002677, ""2022"": 0.00156, ""2023"": 0.003484, ""2024"": 0.002299, ""2025"": 0.009141}",0.004222,4.907e-05,,not_found
vemurafenib,Selleckchem,Cat#S1267,10,"2019,2021,2024,2025","{""2019"": 3, ""2021"": 4, ""2024"": 2, ""2025"": 1}","{""2019"": 0.005093, ""2021"": 0.005355, ""2024"": 0.004598, ""2025"": 0.001828}",0.004218,-0.00044719,918504-65-1,name
il-2,Peprotech,Cat# 200-02,20,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 1, ""2019"": 1, ""2020"": 2, ""2021"": 5, ""2022"": 3, ""2023"": 2, ""2024"": 1, ""2025"": 5}","{""2018"": 0.002639, ""2019"": 0.001698, ""2020"": 0.003063, ""2021"": 0.006693, ""2022"": 0.00468, ""2023"": 0.003484, ""2024"": 0.002299, ""2025"": 0.009141}",0.004212,0.00056872,,not_found
pvdf membrane,Millipore,Cat# IPVH00010,14,"2019,2021,2022,2023,2024,2025","{""2019"": 2, ""2021"": 1, ""2022"": 1, ""2023"": 3, ""2024"": 2, ""2025"": 5}","{""2019"": 0.003396, ""2021"": 0.001339, ""2022"": 0.00156, ""2023"": 0.005226, ""2024"": 0.004598, ""2025"": 0.009141}",0.00421,0.00093853,,not_found
l-leucine,Sigma-Aldrich,Cat#L8912-25G,15,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 1, ""2019"": 1, ""2020"": 1, ""2021"": 1, ""2022"": 3, ""2023"": 1, ""2024"": 2, ""2025"": 4, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.001698, ""2020"": 0.001531, ""2021"": 0.001339, ""2022"": 0.00468, ""2023"": 0.001742, ""2024"": 0.004598, ""2025"": 0.007313, ""2026"": 0.012346}",0.004209,0.00103682,61-90-5,name
deuterium oxide,Sigma-Aldrich,151882,12,"2017,2018,2019,2020,2021,2022,2023,2025,2026","{""2017"": 1, ""2018"": 3, ""2019"": 1, ""2020"": 1, ""2021"": 1, ""2022"": 1, ""2023"": 2, ""2025"": 1, ""2026"": 1}","{""2017"": 0.006173, ""2018"": 0.007916, ""2019"": 0.001698, ""2020"": 0.001531, ""2021"": 0.001339, ""2022"": 0.00156, ""2023"": 0.003484, ""2025"": 0.001828, ""2026"": 0.012346}",0.004208,0.00020896,7789-20-0,name
indole-3-acetic acid,Sigma-Aldrich,Cat# I3750,14,"2018,2019,2020,2021,2022,2025","{""2018"": 3, ""2019"": 3, ""2020"": 3, ""2021"": 2, ""2022"": 2, ""2025"": 1}","{""2018"": 0.007916, ""2019"": 0.005093, ""2020"": 0.004594, ""2021"": 0.002677, ""2022"": 0.00312, ""2025"": 0.001828}",0.004205,-0.00077481,487-60-5,sigma_sid
iodacetamide,Sigma-Aldrich,Cat# I1149,8,"2018,2021,2022,2023,2024,2026","{""2018"": 1, ""2021"": 1, ""2022"": 2, ""2023"": 2, ""2024"": 1, ""2026"": 1}","{""2018"": 0.002639, ""2021"": 0.001339, ""2022"": 0.00312, ""2023"": 0.003484, ""2024"": 0.002299, ""2026"": 0.012346}",0.004204,0.00099544,144-48-9,sigma_sid
magnesium chloride hexahydrate,Sigma-Aldrich,M0250,18,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 1, ""2019"": 2, ""2020"": 3, ""2021"": 3, ""2022"": 1, ""2023"": 1, ""2024"": 6, ""2025"": 1}","{""2018"": 0.002639, ""2019"": 0.003396, ""2020"": 0.004594, ""2021"": 0.004016, ""2022"": 0.00156, ""2023"": 0.001742, ""2024"": 0.013793, ""2025"": 0.001828}",0.004196,0.00042027,7791-18-6,name
ethidium bromide,Sigma-Aldrich,Cat# E8751; CAS 1239-45-8,13,"2017,2018,2019,2020,2023,2024,2025","{""2017"": 1, ""2018"": 2, ""2019"": 3, ""2020"": 3, ""2023"": 1, ""2024"": 2, ""2025"": 1}","{""2017"": 0.006173, ""2018"": 0.005277, ""2019"": 0.005093, ""2020"": 0.004594, ""2023"": 0.001742, ""2024"": 0.004598, ""2025"": 0.001828}",0.004186,-0.0004507,1239-45-8,name
gastrin,Sigma-Aldrich,G9145,5,"2017,2019,2022","{""2017"": 1, ""2019"": 1, ""2022"": 3}","{""2017"": 0.006173, ""2019"": 0.001698, ""2022"": 0.00468}",0.004184,-0.00019648,71526-06-2,sigma_sid
growth factor reduced matrigel,Corning,Cat# 356231,14,"2017,2019,2020,2021,2022,2023,2024,2025","{""2017"": 2, ""2019"": 1, ""2020"": 1, ""2021"": 2, ""2022"": 1, ""2023"": 1, ""2024"": 2, ""2025"": 4}","{""2017"": 0.012346, ""2019"": 0.001698, ""2020"": 0.001531, ""2021"": 0.002677, ""2022"": 0.00156, ""2023"": 0.001742, ""2024"": 0.004598, ""2025"": 0.007313}",0.004183,-0.00037636,,not_found
t4 rna ligase 1,NEB,Cat# M0204S,17,"2017,2018,2019,2020,2021,2022,2023,2025","{""2017"": 1, ""2018"": 2, ""2019"": 2, ""2020"": 2, ""2021"": 4, ""2022"": 2, ""2023"": 3, ""2025"": 1}","{""2017"": 0.006173, ""2018"": 0.005277, ""2019"": 0.003396, ""2020"": 0.003063, ""2021"": 0.005355, ""2022"": 0.00312, ""2023"": 0.005226, ""2025"": 0.001828}",0.00418,-0.00033988,,not_found
mdivi-1,SelleckChem,Cat#S7162; CAS#338967-87-6,6,"2018,2019,2020,2021,2026","{""2018"": 1, ""2019"": 1, ""2020"": 1, ""2021"": 2, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.001698, ""2020"": 0.001531, ""2021"": 0.002677, ""2026"": 0.012346}",0.004178,0.00136763,338967-87-6,name
sodium ascorbate,Sigma Aldrich,A7631,10,"2021,2022,2024,2025","{""2021"": 2, ""2022"": 4, ""2024"": 1, ""2025"": 3}","{""2021"": 0.002677, ""2022"": 0.00624, ""2024"": 0.002299, ""2025"": 0.005484}",0.004175,0.00016728,134-03-2,name
gabazine,Abcam,Cat# ab120042,19,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 1, ""2019"": 5, ""2020"": 1, ""2021"": 2, ""2022"": 4, ""2023"": 1, ""2024"": 2, ""2025"": 3}","{""2018"": 0.002639, ""2019"": 0.008489, ""2020"": 0.001531, ""2021"": 0.002677, ""2022"": 0.00624, ""2023"": 0.001742, ""2024"": 0.004598, ""2025"": 0.005484}",0.004175,5.548e-05,104104-50-9,name
"proteinase k, recombinant, pcr grade",Sigma-Aldrich,Cat# RPROTKSOL-RO,13,"2017,2018,2019,2022,2023,2024,2025","{""2017"": 1, ""2018"": 1, ""2019"": 1, ""2022"": 1, ""2023"": 3, ""2024"": 2, ""2025"": 4}","{""2017"": 0.006173, ""2018"": 0.002639, ""2019"": 0.001698, ""2022"": 0.00156, ""2023"": 0.005226, ""2024"": 0.004598, ""2025"": 0.007313}",0.004172,0.00025285,,not_found
l-carnitine,Invitrogen,Cat#A17618.09; CAS#541-15-1,5,"2018,2023,2024,2025,2026","{""2018"": 1, ""2023"": 1, ""2024"": 1, ""2025"": 1, ""2026"": 1}","{""2018"": 0.002639, ""2023"": 0.001742, ""2024"": 0.002299, ""2025"": 0.001828, ""2026"": 0.012346}",0.004171,0.00066054,541-15-1,name
dmem high glucose,Thermo Fisher,Cat#11965092,18,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 1, ""2019"": 4, ""2020"": 1, ""2021"": 2, ""2022"": 1, ""2023"": 2, ""2024"": 4, ""2025"": 3}","{""2018"": 0.002639, ""2019"": 0.006791, ""2020"": 0.001531, ""2021"": 0.002677, ""2022"": 0.00156, ""2023"": 0.003484, ""2024"": 0.009195, ""2025"": 0.005484}",0.00417,0.00043672,,not_found
pipes,Sigma,P1851,11,"2018,2019,2020,2021,2022,2024,2026","{""2018"": 1, ""2019"": 1, ""2020"": 2, ""2021"": 3, ""2022"": 2, ""2024"": 1, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.001698, ""2020"": 0.003063, ""2021"": 0.004016, ""2022"": 0.00312, ""2024"": 0.002299, ""2026"": 0.012346}",0.004169,0.00094029,5625-37-6,sigma_sid
human trustain fcx,BioLegend,Cat#422302,15,"2018,2020,2021,2022,2023,2024","{""2018"": 1, ""2020"": 2, ""2021"": 4, ""2022"": 3, ""2023"": 4, ""2024"": 1}","{""2018"": 0.002639, ""2020"": 0.003063, ""2021"": 0.005355, ""2022"": 0.00468, ""2023"": 0.006969, ""2024"": 0.002299}",0.004167,0.00026576,,not_found
