normalized_name,source,identifier,n_papers_total,years_active,annual_counts,annual_norm,mean_norm_freq,trend_slope,cas,cas_method
2-mercaptoethanol,Sigma-Aldrich,21985023,178,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 4, ""2018"": 9, ""2019"": 24, ""2020"": 16, ""2021"": 13, ""2022"": 25, ""2023"": 23, ""2024"": 27, ""2025"": 31, ""2026"": 6}","{""2017"": 0.024691, ""2018"": 0.023747, ""2019"": 0.040747, ""2020"": 0.024502, ""2021"": 0.017403, ""2022"": 0.039002, ""2023"": 0.04007, ""2024"": 0.062069, ""2025"": 0.056673, ""2026"": 0.074074}",0.040298,0.00515053,60-24-2,name
lipofectamine 2000,Invitrogen,Cat# 11668019,198,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 9, ""2018"": 15, ""2019"": 28, ""2020"": 20, ""2021"": 37, ""2022"": 21, ""2023"": 30, ""2024"": 7, ""2025"": 29, ""2026"": 2}","{""2017"": 0.055556, ""2018"": 0.039578, ""2019"": 0.047538, ""2020"": 0.030628, ""2021"": 0.049531, ""2022"": 0.032761, ""2023"": 0.052265, ""2024"": 0.016092, ""2025"": 0.053016, ""2026"": 0.024691}",0.040166,-0.00177453,158571-62-1,name
doxycycline,Sigma-Aldrich,Cat# D9891,180,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 7, ""2018"": 10, ""2019"": 23, ""2020"": 22, ""2021"": 32, ""2022"": 33, ""2023"": 20, ""2024"": 12, ""2025"": 17, ""2026"": 4}","{""2017"": 0.04321, ""2018"": 0.026385, ""2019"": 0.039049, ""2020"": 0.033691, ""2021"": 0.042838, ""2022"": 0.051482, ""2023"": 0.034843, ""2024"": 0.027586, ""2025"": 0.031079, ""2026"": 0.049383}",0.037955,0.00026179,7164-70-7,name
sodium chloride,Sigma-Aldrich,Cat#SZBF3340H,155,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 4, ""2019"": 17, ""2020"": 18, ""2021"": 22, ""2022"": 21, ""2023"": 20, ""2024"": 26, ""2025"": 21, ""2026"": 6}","{""2018"": 0.010554, ""2019"": 0.028862, ""2020"": 0.027565, ""2021"": 0.029451, ""2022"": 0.032761, ""2023"": 0.034843, ""2024"": 0.05977, ""2025"": 0.038391, ""2026"": 0.074074}",0.037364,0.00587447,7647-14-5,name
penicillin/streptomycin,Gibco,Cat# 15140122,180,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 4, ""2018"": 14, ""2019"": 19, ""2020"": 17, ""2021"": 26, ""2022"": 34, ""2023"": 15, ""2024"": 23, ""2025"": 25, ""2026"": 3}","{""2017"": 0.024691, ""2018"": 0.036939, ""2019"": 0.032258, ""2020"": 0.026034, ""2021"": 0.034806, ""2022"": 0.053042, ""2023"": 0.026132, ""2024"": 0.052874, ""2025"": 0.045704, ""2026"": 0.037037}",0.036952,0.00178226,,not_found
edta,Sigma-Aldrich,EDS,177,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 9, ""2019"": 14, ""2020"": 21, ""2021"": 31, ""2022"": 16, ""2023"": 30, ""2024"": 21, ""2025"": 29, ""2026"": 4}","{""2017"": 0.012346, ""2018"": 0.023747, ""2019"": 0.023769, ""2020"": 0.032159, ""2021"": 0.041499, ""2022"": 0.024961, ""2023"": 0.052265, ""2024"": 0.048276, ""2025"": 0.053016, ""2026"": 0.049383}",0.036142,0.0042699,60-00-4,sigma_sid
propidium iodide,Sigma-Aldrich,Cat# P4170,148,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 5, ""2018"": 12, ""2019"": 18, ""2020"": 18, ""2021"": 19, ""2022"": 17, ""2023"": 19, ""2024"": 13, ""2025"": 20, ""2026"": 7}","{""2017"": 0.030864, ""2018"": 0.031662, ""2019"": 0.03056, ""2020"": 0.027565, ""2021"": 0.025435, ""2022"": 0.026521, ""2023"": 0.033101, ""2024"": 0.029885, ""2025"": 0.036563, ""2026"": 0.08642}",0.035858,0.00332499,25535-16-4,name
trizol reagent,Invitrogen,Cat#15596026,162,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 4, ""2018"": 9, ""2019"": 19, ""2020"": 29, ""2021"": 22, ""2022"": 23, ""2023"": 17, ""2024"": 11, ""2025"": 23, ""2026"": 5}","{""2017"": 0.024691, ""2018"": 0.023747, ""2019"": 0.032258, ""2020"": 0.04441, ""2021"": 0.029451, ""2022"": 0.035881, ""2023"": 0.029617, ""2024"": 0.025287, ""2025"": 0.042048, ""2026"": 0.061728}",0.034912,0.00235536,,not_found
cycloheximide,Sigma-Aldrich,C7698,161,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 6, ""2018"": 14, ""2019"": 22, ""2020"": 22, ""2021"": 15, ""2022"": 19, ""2023"": 16, ""2024"": 11, ""2025"": 33, ""2026"": 3}","{""2017"": 0.037037, ""2018"": 0.036939, ""2019"": 0.037351, ""2020"": 0.033691, ""2021"": 0.02008, ""2022"": 0.029641, ""2023"": 0.027875, ""2024"": 0.025287, ""2025"": 0.060329, ""2026"": 0.037037}",0.034527,0.00057891,66-81-9,sigma_sid
hoechst 33342,Thermo Fisher Scientific,Cat# H3570,147,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 5, ""2018"": 7, ""2019"": 13, ""2020"": 10, ""2021"": 28, ""2022"": 28, ""2023"": 21, ""2024"": 14, ""2025"": 16, ""2026"": 5}","{""2017"": 0.030864, ""2018"": 0.01847, ""2019"": 0.022071, ""2020"": 0.015314, ""2021"": 0.037483, ""2022"": 0.043682, ""2023"": 0.036585, ""2024"": 0.032184, ""2025"": 0.02925, ""2026"": 0.061728}",0.032763,0.00287163,23491-52-3,name
